keyword,search_volume,difficulty,category,intent,products
"best portable power station 2025",2400,45,power-stations,commercial,"Jackery Explorer 300;Jackery Explorer 500;Goal Zero Yeti 400"
"jackery 300 vs 500 comparison",890,35,power-stations,commercial,"Jackery Explorer 300;Jackery Explorer 500"
"portable solar generator reviews",1200,40,power-stations,informational,"EcoFlow River 2;Bluetti AC200MAX;Goal Zero Yeti 1000"
"best budget power bank 2025",3200,50,power-banks,commercial,"Anker PowerCore 10000;RAVPower 20000;Aukey 10000mAh"
"power station for camping",1800,42,power-stations,commercial,"Jackery Explorer 500;Goal Zero Yeti 400;EcoFlow River 2"
"best wireless earbuds under 100",4500,55,audio,commercial,"Sony WF-1000XM4;Jabra Elite 75t;Anker Soundcore Liberty Air 2"
"gaming headset comparison 2025",2100,40,gaming,commercial,"SteelSeries Arctis 7;HyperX Cloud II;Razer BlackShark V2"
"budget laptop for students",3800,60,computers,commercial,"Acer Aspire 5;Lenovo IdeaPad 3;HP Pavilion 15"
"best dash cam 2025",2900,45,automotive,commercial,"Garmin Dash Cam 66W;Nextbase 622GW;Viofo A129 Pro Duo"
"portable bluetooth speaker review",2600,38,audio,informational,"JBL Flip 5;Ultimate Ears Boom 3;Anker Soundcore Motion+"
"fitness tracker vs smartwatch",1900,42,wearables,informational,"Fitbit Charge 5;Apple Watch SE;Garmin Vivosmart 4"
"best robot vacuum 2025",3100,52,home,commercial,"Roomba i7+;Shark IQ Robot;Eufy RoboVac 11S"
"mechanical keyboard under 50",1700,35,peripherals,commercial,"Redragon K552;Corsair K63;Logitech G413"
"noise cancelling headphones comparison",2800,48,audio,commercial,"Sony WH-1000XM4;Bose QuietComfort 45;Sennheiser PXC 550-II"
"best security camera system",2400,50,security,commercial,"Arlo Pro 4;Ring Stick Up Cam;Reolink Argus 3 Pro"
"portable monitor for laptop",1600,40,monitors,commercial,"ASUS ZenScreen MB16AC;HP E14 G4;Lepow Z1"
"best air fryer 2025",4200,58,kitchen,commercial,"Ninja Foodi;Cosori Air Fryer;Instant Pot Vortex Plus"
"electric scooter comparison",2200,45,transportation,commercial,"Xiaomi Mi M365;Segway Ninebot ES2;Razor E Prime III"
"best webcam for streaming",1800,42,streaming,commercial,"Logitech C920;Razer Kiyo;Elgato Facecam"
"tablet vs laptop for students",2500,50,computers,informational,"iPad Air;Microsoft Surface Go;Samsung Galaxy Tab S7"
"best phone case 2025",3600,55,accessories,commercial,"OtterBox Defender;Spigen Tough Armor;Peak Design Mobile"
"portable hard drive comparison",1400,38,storage,commercial,"WD My Passport;Seagate Backup Plus;Toshiba Canvio Advance"
"best budget smartphone 2025",4800,65,smartphones,commercial,"OnePlus Nord N20;Moto G Power;Samsung Galaxy A53"
