product_name,affiliate_url,status,article_slug,category,last_updated,notes
"Yamaha YAS-109",pending,pending,best-budget-soundbar,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Polk Audio Signa S2",pending,pending,best-budget-soundbar,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"TCL Alto 6+",pending,pending,best-budget-soundbar,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"OtterBox Defender",pending,pending,best-phone-case-2025,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Spigen Tough Armor",pending,pending,best-phone-case-2025,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Peak Design Mobile",pending,pending,best-phone-case-2025,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Xiaomi Mi M365",pending,pending,electric-scooter-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Segway Ninebot ES2",pending,pending,electric-scooter-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Razor E Prime III",pending,pending,electric-scooter-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Oral-B Pro 1000",pending,pending,electric-toothbrush-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Philips Sonicare",pending,pending,electric-toothbrush-comparison,automotive,2025-07-26,"Need affiliate URL - used 1 times"
"Fairywill Sonic",pending,pending,electric-toothbrush-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Humanscale Freedom",pending,pending,ergonomic-office-chair-review,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Fitbit Charge 5",pending,pending,fitness-tracker-vs-smartwatch,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Apple Watch SE",pending,pending,fitness-tracker-vs-smartwatch,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Garmin Vivosmart 4",pending,pending,fitness-tracker-vs-smartwatch,smart-home,2025-07-26,"Need affiliate URL - used 1 times"
"portable power",pending,pending,jackery-300-vs-500,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"camping",pending,pending,jackery-300-vs-500,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"battery",pending,pending,jackery-300-vs-500,power,2025-07-26,"Need affiliate URL - used 1 times"
"Jackery",pending,pending,jackery-300-vs-500,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"power station",pending,pending,jackery-300-vs-500,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Honda EU2200i",pending,pending,portable-generator-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Generac GP3000i",pending,pending,portable-generator-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"WEN 56380i",pending,pending,portable-generator-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"WD My Passport",pending,pending,portable-hard-drive-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Seagate Backup Plus",pending,pending,portable-hard-drive-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Toshiba Canvio Advance",pending,pending,portable-hard-drive-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"ASUS ZenScreen MB16AC",pending,pending,portable-monitor-for-laptop,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"HP E14 G4",pending,pending,portable-monitor-for-laptop,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Lepow Z1",pending,pending,portable-monitor-for-laptop,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"HAPPRUN H1",pending,pending,portable-projector-review,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"PVO Mini Projector",pending,pending,portable-projector-review,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Vamvo L4600",pending,pending,portable-projector-review,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Ring Video Doorbell",pending,pending,smart-doorbell-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Nest Hello",pending,pending,smart-doorbell-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Arlo Video Doorbell",pending,pending,smart-doorbell-comparison,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Amazon Echo Dot",pending,pending,smart-home-starter-kit,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Google Nest Mini",pending,pending,smart-home-starter-kit,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Philips Hue Starter",pending,pending,smart-home-starter-kit,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Logitech MK545",pending,pending,wireless-keyboard-and-mouse-combo,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Microsoft Sculpt",pending,pending,wireless-keyboard-and-mouse-combo,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
"Corsair K63 Wireless",pending,pending,wireless-keyboard-and-mouse-combo,miscellaneous,2025-07-26,"Need affiliate URL - used 1 times"
