Keyword,Search Volume,Competition Score,Buyer Intent Score,Current Ranking,Target Difficulty,Content Status,Priority Level,Category,Parent Topic,Estimated Traffic,Conversion Potential,Content Type,Target Publish Date,Notes
"best noise cancelling headphones for sleeping",800,25,HIGH,Not Ranking,20-30,Not Created,HIGH,Audio,Noise Cancelling Headphones,200,High,Review/Comparison,2025-08-01,"Specific use case - less competition than general headphones"
"gaming laptop for college students under $800",600,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Electronics,Gaming Laptops,150,High,Buying Guide,2025-08-15,"Price + demographic specific"
"portable power bank for camping trips",400,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Power,Portable Power Banks,100,High,Review,2025-08-01,"Use case specific - outdoor niche"
"best ergonomic chair for back pain relief",500,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Furniture,Office Chairs,125,High,Review,2025-08-10,"Problem-solution keyword"
"quietest air fryer for apartment living",300,26,HIGH,Not Ranking,20-30,Not Created,MEDIUM,Kitchen,Air Fryers,75,High,Review,2025-08-20,"Specific problem + living situation"
"Jackery 300 vs Goal Zero Yeti 150",250,22,HIGH,Not Ranking,20-25,Not Created,HIGH,Power,Power Stations,65,Very High,Comparison,2025-08-05,"Brand vs brand - high intent"
"wireless earbuds under $50 with good bass",700,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Audio,Wireless Earbuds,180,High,Review,2025-08-12,"Price + feature specific"
"best mechanical keyboard under $75",450,32,HIGH,Not Ranking,25-35,Not Created,HIGH,Accessories,Keyboards,115,High,Review,2025-08-18,"Price specific niche"
"4K TV under $400 for gaming",600,38,HIGH,Not Ranking,35-40,Not Created,MEDIUM,Entertainment,4K TVs,150,High,Review,2025-08-25,"Price + use case specific"
"best dash cam for uber drivers",350,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Automotive,Dash Cams,90,High,Review,2025-08-08,"Profession-specific niche"
"portable projector for outdoor movies",280,25,HIGH,Not Ranking,20-30,Not Created,MEDIUM,Entertainment,Projectors,70,High,Review,2025-08-22,"Use case specific"
"best coffee maker for small office",320,30,HIGH,Not Ranking,25-35,Not Created,MEDIUM,Kitchen,Coffee Makers,80,High,Review,2025-08-15,"Location + size specific"
"noise cancelling headphones for studying",400,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Audio,Noise Cancelling Headphones,100,High,Review,2025-08-12,"Use case specific"
"best tablet for digital art under $300",500,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Electronics,Tablets,125,High,Review,2025-08-20,"Price + use case specific"
"portable bluetooth speaker for beach",250,24,HIGH,Not Ranking,20-28,Not Created,MEDIUM,Audio,Bluetooth Speakers,65,High,Review,2025-08-25,"Use case + environment specific"
"best webcam for twitch streaming",380,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Electronics,Webcams,95,High,Review,2025-08-10,"Platform + use case specific"
"electric scooter for commuting to work",450,30,HIGH,Not Ranking,25-35,Not Created,HIGH,Transportation,Electric Scooters,115,High,Review,2025-08-18,"Use case specific"
"best mouse pad for FPS games",200,20,HIGH,Not Ranking,15-25,Not Created,MEDIUM,Gaming,Mouse Pads,50,High,Review,2025-08-08,"Gaming genre specific"
"portable charger for iPhone 15",600,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Accessories,Portable Chargers,150,High,Review,2025-08-01,"Device-specific accessory"
"best fitness tracker for swimming",350,28,HIGH,Not Ranking,25-30,Not Created,HIGH,Fitness,Fitness Trackers,90,High,Review,2025-08-12,"Activity-specific wearable"
"standing desk converter under $200",300,25,HIGH,Not Ranking,20-30,Not Created,MEDIUM,Furniture,Standing Desks,75,High,Review,2025-08-22,"Price + product type specific"
"best VPN for streaming Netflix",800,40,HIGH,Not Ranking,35-45,Not Created,HIGH,Software,VPNs,200,High,Review,2025-08-05,"Use case specific VPN"
"wireless charging pad for multiple devices",400,30,HIGH,Not Ranking,25-35,Not Created,MEDIUM,Accessories,Wireless Chargers,100,High,Review,2025-08-15,"Feature-specific product"
"best robot vacuum for pet hair",650,38,HIGH,Not Ranking,35-40,Not Created,HIGH,Home,Robot Vacuums,165,High,Review,2025-08-20,"Problem-solution specific"
"portable monitor for MacBook Pro",450,32,HIGH,Not Ranking,30-35,Not Created,HIGH,Electronics,Portable Monitors,115,High,Review,2025-08-10,"Device compatibility specific"
"best smart watch for Android users",550,35,HIGH,Not Ranking,30-40,Not Created,HIGH,Wearables,Smart Watches,140,High,Review,2025-08-25,"OS compatibility specific"
"mini projector for presentations",280,26,HIGH,Not Ranking,25-30,Not Created,MEDIUM,Electronics,Projectors,70,High,Review,2025-08-18,"Use case specific"
