Keyword,Target URL,Current Rank,Previous Rank,Change,Search Volume,Difficulty,Content Status,Priority,Category,Last Updated,Notes
"best earbuds for small ear canals","/best-earbuds-small-ear-canals",Not Ranking,Not Ranking,0,240,20,Published,HIGH,Audio,2025-01-17,"First ultra-low competition article - expect ranking in 2-4 months"
"meditation cushion for beginners","/meditation-cushion-beginners",Not Ranking,Not Ranking,0,180,20,Planned,HIGH,Health,,"Next article to create"
"rice cooker for family of 6","/rice-cooker-family-6",Not Ranking,Not Ranking,0,240,22,Planned,HIGH,Kitchen,,"Third article priority"
"best headphones for side sleepers","/headphones-side-sleepers",Not Ranking,Not Ranking,0,320,22,Planned,HIGH,Audio,,"Audio cluster expansion"
"folding bike for apartment living","/folding-bike-apartment",Not Ranking,Not Ranking,0,240,24,Planned,MEDIUM,Transportation,,"Transportation cluster"
"tower fan for bedroom cooling","/tower-fan-bedroom",Not Ranking,Not Ranking,0,290,24,Planned,MEDIUM,Home,,"Home appliances cluster"
"car phone mount for dashboard","/car-phone-mount-dashboard",Not Ranking,Not Ranking,0,320,25,Planned,MEDIUM,Automotive,,"Automotive cluster"
"best yoga mat for hot yoga","/yoga-mat-hot-yoga",Not Ranking,Not Ranking,0,290,24,Planned,MEDIUM,Fitness,,"Fitness cluster"
"quietest air fryer for apartment living","/quietest-air-fryer-apartment",Not Ranking,Not Ranking,0,300,26,Planned,HIGH,Kitchen,,"High-intent kitchen keyword"
"best coffee maker for small office","/coffee-maker-small-office",Not Ranking,Not Ranking,0,320,30,Planned,HIGH,Kitchen,,"Office-specific kitchen appliance"
"best fitness tracker for swimming","/fitness-tracker-swimming",Not Ranking,Not Ranking,0,350,28,Planned,HIGH,Fitness,,"Activity-specific fitness"
"best dash cam for uber drivers","/dash-cam-uber-drivers",Not Ranking,Not Ranking,0,350,28,Planned,HIGH,Automotive,,"Profession-specific automotive"
"gaming laptop for college students under $800","/gaming-laptop-college-students-800",Not Ranking,Not Ranking,0,600,32,Planned,HIGH,Electronics,,"High-value electronics keyword"
"best noise cancelling headphones for sleeping","/noise-cancelling-headphones-sleeping",Not Ranking,Not Ranking,0,800,25,Planned,HIGH,Audio,,"High-volume audio keyword"
"best ergonomic chair for back pain relief","/ergonomic-chair-back-pain",Not Ranking,Not Ranking,0,500,32,Planned,HIGH,Furniture,,"Problem-solution furniture"
"electric scooter for commuting to work","/electric-scooter-commuting",Not Ranking,Not Ranking,0,450,32,Planned,HIGH,Transportation,,"Use-case transportation"
"mini fridge for dorm room","/mini-fridge-dorm-room",Not Ranking,Not Ranking,0,500,30,Planned,HIGH,Home,,"Location-specific appliance"
"wireless earbuds with longest battery life","/wireless-earbuds-longest-battery",Not Ranking,Not Ranking,0,450,30,Planned,HIGH,Audio,,"Feature-specific audio"
"best microphone for podcast recording","/microphone-podcast-recording",Not Ranking,Not Ranking,0,400,32,Planned,HIGH,Audio,,"Use-case audio equipment"
"portable air conditioner for small room","/portable-air-conditioner-small-room",Not Ranking,Not Ranking,0,600,35,Planned,HIGH,Home,,"Size-specific appliance"
"Sony WF-C500 vs Jabra Elite 3 comparison","/sony-wf-c500-vs-jabra-elite-3",Not Ranking,Not Ranking,0,150,20,Planned,MEDIUM,Audio,,"Brand comparison - high intent"
"DJI Mini 2 vs Holy Stone HS720 comparison","/dji-mini-2-vs-holy-stone-hs720",Not Ranking,Not Ranking,0,180,22,Planned,MEDIUM,Electronics,,"Brand comparison - drones"
"OnePlus Nord N20 vs Moto G Power comparison","/oneplus-nord-n20-vs-moto-g-power",Not Ranking,Not Ranking,0,200,25,Planned,MEDIUM,Electronics,,"Brand comparison - phones"
"best VPN for streaming Netflix in 2025","/best-vpn-streaming-netflix-2025",Not Ranking,Not Ranking,0,900,40,Planned,HIGH,Software,,"Use-case VPN - high volume"
"best 4K TV under $500 for gaming","/4k-tv-under-500-gaming",Not Ranking,Not Ranking,0,650,38,Planned,HIGH,Entertainment,,"Price + use case TV"
